Name of the company,Average employee rating (out of 5) based on reviews,Total number of employee reviews,Critical Rated for,Number of salary entries submitted by employees,Count of interview experiences shared,Active job listings on AmbitionBox,"Number of benefit reviews (insurance, WFH, leaves, etc.)",Number of company photos uploaded by employees
Mount Litera Zee School,3.7,631,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.5k,40,15,69,--
NoBrokerHood,2.8,631,"Job Security, Work Satisfaction, Promotions / Appraisal",2.1k,65,9,210,2
JoulestoWatts Business Solutions,3.5,631,"Promotions / Appraisal, Job Security, Company Culture",3.1k,71,1,12,--
CJ Darcl Logistics Limited,4.0,630,"Work Life Balance, Job Security, Company Culture",1.8k,43,--,45,424
Licious,3.6,631,"Promotions / Appraisal, Job Security, Salary & Benefits",2.9k,72,14,84,1
Karvy Stock Broking,3.6,629,"Promotions / Appraisal, Work Life Balance, Company Culture",1.6k,9,--,70,--
Tejas Networks,3.8,629,Promotions / Appraisal,3.7k,87,--,27,1
Krsnaa Diagnostics,3.7,629,Skill Development / Learning,1.6k,45,7,31,6
Encore Capital Group,3.9,629,"Company Culture, Work Life Balance, Job Security",2.2k,36,--,83,8
RealPage,3.6,629,"Promotions / Appraisal, Job Security, Skill Development / Learning",3.9k,77,8,54,--
CSC,3.5,629,Work Life Balance,4.3k,66,62,4,22
Forbes Marshall,3.9,629,"Job Security, Company Culture, Skill Development / Learning",2.6k,45,26,54,14
Crowne Plaza,4.1,628,"Job Security, Company Culture, Work Life Balance",1.2k,22,--,111,6
Petpooja,3.9,629,"Company Culture, Work Life Balance, Skill Development / Learning",1.5k,60,58,73,31
Talentpro,3.8,628,"Promotions / Appraisal, Job Security",2.3k,31,177,49,--
Electrotherm,4.2,628,"Job Security, Work Life Balance, Work Satisfaction",2.8k,39,3,56,--
Inspirisys Solution,3.7,628,"Promotions / Appraisal, Salary & Benefits",3.7k,59,50,26,3
InternEzy,4.9,626,"Company Culture, Work Life Balance, Work Satisfaction",5,69,--,97,--
NRB Bearings,4.1,627,"Work Life Balance, Job Security, Company Culture",2k,48,1,66,1
Welspun Corp,4.0,626,"Skill Development / Learning, Company Culture",2k,33,--,41,--
ICA Edu Skills,3.8,625,"Work Life Balance, Skill Development / Learning",1.4k,41,5,57,--
Continental,3.6,625,Work Life Balance,3.6k,56,38,48,--
ANAROCK Property Consultants,3.5,625,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",2.9k,61,33,33,10
NICE,3.5,625,"Promotions / Appraisal, Work Satisfaction, Job Security",4.3k,98,36,63,27
Magic Bus India Foundation,3.8,624,"Promotions / Appraisal, Job Security",1.7k,44,30,38,--
Carrier,3.7,624,Work Life Balance,4.3k,54,1,42,5
Vikram Solar,3.6,624,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.2k,36,6,52,2
B.L. Kashyap & Sons,3.8,624,"Job Security, Work Life Balance",1.7k,62,9,52,3
Elite Elevators,4.1,626,"Salary & Benefits, Skill Development / Learning, Company Culture",932,49,1,71,8
Philips Innovation Campus,3.7,623,Work Life Balance,4.4k,55,--,46,--
Ramboll,4.0,623,"Company Culture, Work Life Balance, Job Security",3.1k,42,25,66,10
GKN,3.8,622,Work Life Balance,2.3k,32,26,80,--
3M,4.0,622,"Company Culture, Work Life Balance, Salary & Benefits",3.1k,38,87,63,--
MR.DIY,3.5,621,"Company Culture, Work Life Balance, Work Satisfaction",1.4k,45,5,9,--
Ebixcash Global Services,3.2,620,"Promotions / Appraisal, Salary & Benefits, Job Security",2.1k,56,--,11,12
Khazana Jewellery,3.9,621,Skill Development / Learning,1.6k,64,20,55,7
Varthana,4.0,620,"Work Life Balance, Salary & Benefits, Company Culture",1.4k,43,13,55,20
Narayana e-Techno School,3.7,619,Skill Development / Learning,1.9k,49,--,23,--
Turbo Energy,4.2,618,"Work Satisfaction, Skill Development / Learning, Company Culture",2k,24,--,76,1
Hitachi Systems Micro Clinic,4.0,619,"Work Life Balance, Job Security, Skill Development / Learning",2.8k,31,2,70,--
Surin Automotive,3.8,621,"Salary & Benefits, Job Security",2k,50,--,25,16
Tecnimont,3.8,619,"Job Security, Salary & Benefits",2.7k,40,79,61,2
Allcargo Logistics,3.7,617,"Promotions / Appraisal, Salary & Benefits",2.4k,36,15,46,10
Corporate Infotech,3.7,617,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",2.1k,80,11,17,1
TVS Eurogrip,3.6,617,"Promotions / Appraisal, Company Culture, Job Security",2.1k,30,2,38,--
Suraksha Diagnostic,3.7,616,Skill Development / Learning,1.5k,48,10,41,1
Hetero Healthcare,3.6,616,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",2.2k,35,15,44,--
Careon Healthcare Solutions,3.8,630,"Company Culture, Work Life Balance, Job Security",2.6k,9,--,7,--
Shivam Autotech,3.6,615,Skill Development / Learning,2.3k,36,--,46,--
Manjushree Technopack,3.5,615,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.8k,43,2,52,29
MothersonSumi INfotech & Designs,3.4,614,Job Security,3.8k,37,6,58,1
Gainwell Commosales,4.1,613,"Job Security, Skill Development / Learning, Company Culture",2.2k,45,3,49,1
Sanghi Industries,4.0,613,Skill Development / Learning,2.2k,75,--,71,3
Danfoss Industries,3.9,613,"Work Life Balance, Company Culture",3.3k,43,13,64,--
Varun Motors,3.8,612,Job Security,2.1k,21,1,52,3
Impetus Technologies,3.4,613,"Work Satisfaction, Promotions / Appraisal, Work Life Balance",5.9k,113,26,54,231
Trigent Software,3.3,613,"Promotions / Appraisal, Job Security, Skill Development / Learning",3.8k,76,4,38,2
Netmeds.com,3.8,612,Work Life Balance,2.2k,48,--,31,11
Okaya Power,3.7,611,"Promotions / Appraisal, Skill Development / Learning",2.1k,37,6,47,--
Airports Authority of India,4.1,610,"Work Life Balance, Company Culture, Work Satisfaction",1.8k,48,--,66,6
Emids Technologies Limited,3.6,610,"Job Security, Promotions / Appraisal, Work Satisfaction",5.1k,49,26,67,1
FCC Clutch,3.8,610,"Work Life Balance, Job Security",2.3k,42,--,37,5
Avalon Technologies,3.8,610,"Job Security, Skill Development / Learning",3.3k,40,18,44,1
Collegedunia,2.9,609,"Job Security, Promotions / Appraisal, Work Satisfaction",3.3k,108,26,35,--
TDS Lithium-Ion Battery,4.2,608,"Company Culture, Work Life Balance, Skill Development / Learning",2k,92,--,27,--
Suroj Buildcon,4.1,609,"Job Security, Company Culture, Skill Development / Learning",1.6k,32,3,55,7
Family Health Plan,3.7,607,"Promotions / Appraisal, Salary & Benefits",2k,44,6,34,--
Pyramid IT Consulting,3.0,607,"Promotions / Appraisal, Job Security, Work Satisfaction",2.7k,26,1,44,--
ITC Limited Foods Division,3.9,607,Job Security,1.9k,65,--,67,--
ShareChat,3.6,607,Salary & Benefits,2.5k,86,--,43,18
ACKO,3.5,607,"Promotions / Appraisal, Work Satisfaction, Job Security",2.9k,59,36,27,13
Dhani Services,3.7,607,"Job Security, Promotions / Appraisal",1.2k,22,--,5,--
Reliance Jewels,3.9,607,"Job Security, Skill Development / Learning, Company Culture",1.3k,36,--,48,10
Geojit Financial Services,3.3,606,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",2.1k,52,8,47,--
Dr. Batras' Positive Health Clinic,3.7,606,"Promotions / Appraisal, Work Life Balance, Job Security",1.1k,19,15,33,22
Suma Soft,3.5,606,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.1k,51,1,43,4
Me n Moms,4.2,606,"Skill Development / Learning, Company Culture, Work Life Balance",1.1k,129,--,34,13
South Indian Bank,3.3,606,Salary & Benefits,3k,47,--,37,1
HDFC Asset Management Company,4.1,606,"Job Security, Work Life Balance, Company Culture",2.5k,42,--,26,--
Sapphire Foods India,3.8,606,Skill Development / Learning,1.9k,34,18,51,2
UKB Electronics Limited,3.6,609,"Company Culture, Work Satisfaction, Job Security",2.2k,50,12,94,8
Columbia Asia,4.6,605,"Company Culture, Skill Development / Learning, Work Life Balance",1.4k,19,--,99,--
Global Healthcare Billing Partners,3.4,605,"Company Culture, Promotions / Appraisal, Work Satisfaction",3.6k,42,66,14,6
NetConnectGlobal,3.1,605,"Promotions / Appraisal, Job Security, Skill Development / Learning",2.6k,32,40,29,9
ThoughtWorks,3.9,604,"Work Life Balance, Company Culture, Skill Development / Learning",6.5k,168,3,48,15
Nucleus Software Exports,3.4,604,Job Security,4.3k,46,10,74,2
Central Reserve Police Force,4.6,604,"Job Security, Salary & Benefits, Company Culture",1.3k,9,--,41,--
CSM Technologies,4.0,604,"Job Security, Work Life Balance, Work Satisfaction",2.1k,34,6,22,20
Ugam Solution,3.5,603,Job Security,3.5k,51,10,96,1
Gestamp,3.6,604,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.1k,23,3,65,1
Carnival Cruise Lines,4.2,603,"Company Culture, Job Security, Work Life Balance",689,21,--,77,4
Polaris Consulting,4.1,603,"Job Security, Work Life Balance, Skill Development / Learning",2.9k,33,2,87,--
National Stock Exchange of India,3.6,602,Job Security,4.2k,54,6,34,--
Kajaria Ceramics,3.8,602,Work Life Balance,2k,31,1,50,--
Sintex Industries,4.0,602,"Job Security, Work Life Balance, Work Satisfaction",2k,24,1,54,--
Shriram Automall,4.0,602,"Job Security, Company Culture, Work Life Balance",1.3k,46,--,114,--
Becton Dickinson,4.0,602,"Company Culture, Work Life Balance, Job Security",3.3k,35,131,46,--
Kaizen IT Services,4.0,604,"Work Life Balance, Company Culture, Work Satisfaction",1.3k,36,2,18,17
Royaloak Incorporation,3.7,602,"Job Security, Company Culture, Promotions / Appraisal",1.5k,38,13,13,3
Royal Caribbean International,4.2,601,"Salary & Benefits, Company Culture, Skill Development / Learning",738,30,--,64,2
Jain Irrigation Systems,3.7,601,"Promotions / Appraisal, Salary & Benefits",1.9k,31,--,50,1
Maharashtra Seamless,3.5,601,Job Security,2.1k,59,5,41,1
Agrostar,3.9,601,"Company Culture, Skill Development / Learning",1.5k,61,19,66,1
Sl Lumax,3.4,601,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",2.4k,30,2,88,--
Ongc Petro Additions,4.0,601,"Job Security, Work Life Balance, Company Culture",3.3k,35,--,76,--
Holiday Inn,4.0,601,"Job Security, Skill Development / Learning, Company Culture",1.4k,16,--,73,--
Monte Carlo,4.2,600,"Work Life Balance, Salary & Benefits, Company Culture",2.4k,33,--,44,3
Super Smelters,3.8,600,Skill Development / Learning,2k,40,3,43,--
Einfochips,3.5,600,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.8k,75,62,52,--
Finova Capital,3.8,600,Salary & Benefits,1.4k,25,5,20,8
Fiem Industries,3.6,600,Salary & Benefits,2.7k,26,--,52,--
Grab A Grub Services,3.9,600,"Job Security, Promotions / Appraisal",1.9k,35,--,30,4
Sudarshan Chemical Industries,3.9,599,"Skill Development / Learning, Work Life Balance",2.6k,33,7,47,4
IDBI Intech Limited,3.2,599,Job Security,2.9k,51,1,46,4
IRB Infrastructure,3.9,599,Work Life Balance,1.4k,28,27,58,--
Godrej Industries,4.0,599,"Job Security, Company Culture, Work Life Balance",2.8k,56,155,63,--
Bridge & Roof Co,3.5,598,"Promotions / Appraisal, Company Culture, Work Life Balance",2.6k,27,--,102,--
Mavenir Systems,3.3,598,"Promotions / Appraisal, Job Security, Company Culture",3.5k,61,8,47,7
bp,3.7,598,"Work Life Balance, Salary & Benefits",3.7k,81,8,22,8
Renovision Automation Services,3.3,597,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.8k,23,54,41,--
Annalect,3.4,597,"Promotions / Appraisal, Job Security, Work Satisfaction",4.1k,82,--,18,4
Revolut,2.5,597,Salary & Benefits,2.5k,113,--,1,--
Sasken,3.6,596,"Promotions / Appraisal, Job Security, Work Satisfaction",4k,89,46,49,63
Serum Institute of India,4.2,596,"Job Security, Salary & Benefits, Work Life Balance",3.1k,41,1,57,1
Chaitanya India Fin Credit,4.0,596,"Company Culture, Work Life Balance, Skill Development / Learning",1.4k,35,4,25,4
BDO RISE Private Limited,3.6,595,"Promotions / Appraisal, Salary & Benefits",2.5k,72,15,7,5
Wissen Technology,3.7,595,Promotions / Appraisal,4.7k,188,99,65,30
Aster Dm Healthcare,3.6,595,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",2.8k,51,162,34,2
Kellogg,4.2,593,"Company Culture, Work Life Balance, Job Security",2.2k,30,--,74,--
Finastra,3.7,593,Work Life Balance,4.4k,56,34,71,14
BMC Software,4.0,593,"Work Life Balance, Company Culture, Salary & Benefits",3.8k,52,93,78,20
SOLAR INDUSTRIES INDIA,3.7,592,Job Security,2.8k,69,16,44,8
Finolex Industries,3.6,598,"Promotions / Appraisal, Skill Development / Learning, Company Culture",2.3k,47,3,22,--
Cyfuture,3.0,590,"Promotions / Appraisal, Salary & Benefits, Company Culture",2.6k,108,31,73,--
AVTEC,3.5,590,"Job Security, Promotions / Appraisal, Salary & Benefits",2.1k,26,8,56,1
Vedanta Limited,3.8,590,Salary & Benefits,2.6k,51,--,47,--
Blackberrys,3.8,591,"Job Security, Promotions / Appraisal",1.8k,31,11,49,11
Medley Pharmaceuticals,3.9,590,"Work Life Balance, Company Culture, Job Security",1.8k,38,2,41,--
BT E Serv,4.0,590,"Work Life Balance, Company Culture, Job Security",2.6k,53,--,132,--
Schwing Stetter,3.9,590,Job Security,2.4k,45,110,49,--
Saudi Aramco,4.5,589,"Company Culture, Work Life Balance, Salary & Benefits",1.4k,58,--,80,--
Excitel Broadband,3.6,589,"Promotions / Appraisal, Job Security, Work Satisfaction",1.9k,55,1,28,1
Coal India,4.0,588,"Job Security, Salary & Benefits, Work Life Balance",1.8k,50,--,68,3
Hamilton Housewares,3.8,587,Promotions / Appraisal,2.5k,39,6,30,3
Cashify,3.8,587,"Job Security, Promotions / Appraisal",2.5k,49,10,35,7
Hamilton Housewares,3.8,587,Promotions / Appraisal,2.5k,39,6,30,3
Jayaswal Neco Industries,4.0,587,"Job Security, Work Life Balance, Skill Development / Learning",2k,36,--,47,4
Sigma Engineered Solutions,3.9,588,"Company Culture, Skill Development / Learning, Work Life Balance",2.3k,30,--,15,1
EaseMyTrip.com,4.0,587,"Work Life Balance, Work Satisfaction, Job Security",1.4k,60,70,216,5
Medcode,4.0,587,"Skill Development / Learning, Company Culture, Work Satisfaction",327,11,8,7,--
Kirloskar Ferrous Industries,3.6,586,Job Security,2k,31,2,31,--
Jubilant Agri and Consumer Products,4.0,585,"Salary & Benefits, Work Life Balance, Company Culture",1.8k,36,--,29,--
Vedang Cellular Services,3.9,586,Salary & Benefits,1.7k,28,--,35,4
Inspira Enterprise India Limited,3.6,584,"Promotions / Appraisal, Company Culture, Work Satisfaction",3.4k,50,23,39,11
Maxicus,4.0,584,"Company Culture, Work Life Balance, Job Security",678,133,12,76,5
CSG International,3.5,583,"Promotions / Appraisal, Job Security, Skill Development / Learning",4k,57,--,46,8
Jubilant Generics,3.9,583,"Work Life Balance, Salary & Benefits",2.4k,20,--,69,--
Affinity Express,2.9,583,"Promotions / Appraisal, Work Satisfaction, Company Culture",2.5k,37,--,41,2
Quest Retail Private Limited,4.1,583,"Skill Development / Learning, Company Culture, Work Life Balance",924,15,1,244,61
Micromax Informatics,3.8,582,"Promotions / Appraisal, Job Security",1.3k,22,--,95,--
Hpl Electric & Power,3.7,580,"Promotions / Appraisal, Company Culture, Skill Development / Learning",2.1k,65,6,23,--
InsuranceDekho,3.6,581,"Promotions / Appraisal, Job Security, Work Life Balance",2k,79,19,7,3
DealShare,3.5,581,"Job Security, Promotions / Appraisal, Company Culture",2.5k,41,--,35,4
United Colors of Benetton,4.3,580,"Company Culture, Skill Development / Learning, Work Life Balance",1.3k,23,--,68,8
Toyoda Gosei Minda,4.1,580,"Job Security, Company Culture, Work Life Balance",1.7k,31,--,52,1
IKEA,4.0,581,"Work Life Balance, Company Culture, Salary & Benefits",2.1k,46,--,55,1
Heidelberg Cement,4.1,580,"Work Life Balance, Job Security, Company Culture",1.9k,35,1,40,1
HLL Lifecare,3.7,579,"Promotions / Appraisal, Salary & Benefits, Job Security",1.7k,44,6,40,1
Bharat Biotech International,3.2,580,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.1k,61,3,37,1
Hilton,4.2,579,"Company Culture, Work Life Balance, Job Security",1.5k,26,289,67,8
Action Tesa,3.8,581,"Promotions / Appraisal, Salary & Benefits",1.3k,43,10,11,--
Efs Facilities Services,3.7,578,"Promotions / Appraisal, Salary & Benefits",1.3k,29,16,57,--
Mrs Bector's Food Specialities,3.9,579,Salary & Benefits,1.8k,28,9,33,1
Jindal Poly Films,3.6,578,"Promotions / Appraisal, Company Culture, Job Security",2.4k,39,1,52,--
Vadilal Industries,4.1,578,"Work Life Balance, Job Security, Company Culture",1.7k,35,23,64,--
Sir H. N. Reliance Foundation Hospital and Research,4.3,578,"Job Security, Skill Development / Learning, Salary & Benefits",1.1k,146,10,9,21
DHL Global Forwarding,4.0,577,"Work Life Balance, Job Security, Company Culture",3.1k,39,3,74,1
IDP Education Limited,3.6,577,Work Life Balance,2.5k,67,23,48,--
EdgeVerve Systems,3.3,576,Job Security,4k,67,60,69,--
BEML,3.8,577,Job Security,1.6k,28,--,59,6
Matrimonialsindia,4.9,576,"Company Culture, Work Life Balance, Work Satisfaction",117,13,7,6,51
Ofbusiness,3.0,576,"Job Security, Work Life Balance, Work Satisfaction",2.5k,50,62,19,7
NLC India Limited,4.4,575,"Work Life Balance, Job Security, Company Culture",1.2k,28,--,23,18
Nspira Management Services,3.7,574,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",2.4k,36,18,23,1
GAMMON INDIA,3.7,574,"Company Culture, Skill Development / Learning",1.1k,31,--,75,--
PTC,4.1,574,"Work Life Balance, Company Culture, Job Security",4k,68,91,56,1
Sapiens,3.2,574,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",5.1k,66,4,64,--
HBL Power Systems,4.0,573,Work Life Balance,2.1k,32,18,53,--
Consulting Engineers Group,4.1,573,"Work Life Balance, Company Culture, Work Satisfaction",1.7k,47,2,37,--
WayCool Foods and Products,3.4,572,"Job Security, Promotions / Appraisal, Company Culture",2.8k,42,--,34,10
TSYS|Total System Services,4.1,572,"Work Life Balance, Company Culture, Salary & Benefits",4.1k,66,--,10,--
AVEVA,4.0,572,"Work Life Balance, Company Culture",1.8k,30,51,306,5
SoftAge Information Technology,3.6,571,"Promotions / Appraisal, Job Security",887,22,7,66,47
Wood Group,3.8,571,"Work Life Balance, Salary & Benefits",2.7k,64,13,25,1
Pamac Finserve,3.2,570,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.6k,29,2,25,--
Blackrock,3.6,570,"Promotions / Appraisal, Work Satisfaction",6.5k,119,--,62,--
Axiscades,3.0,569,"Promotions / Appraisal, Salary & Benefits, Company Culture",3.7k,60,3,31,--
Amway India Enterprises,4.0,569,"Work Life Balance, Company Culture, Salary & Benefits",2.1k,16,10,84,1
Gandhi Automations,4.0,570,"Salary & Benefits, Job Security, Promotions / Appraisal",1.3k,37,18,101,25
Anmol Industries,3.9,568,Work Life Balance,1.6k,62,--,48,20
Maharashtra State Electricity Distribution Company,4.2,568,"Skill Development / Learning, Company Culture, Work Life Balance",1.2k,24,--,42,3
Cvent,3.2,568,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",4.4k,101,142,55,6
Crystal Crop Protection,3.8,567,Promotions / Appraisal,1.8k,24,--,43,--
Army Public School,4.0,567,"Skill Development / Learning, Salary & Benefits",1.1k,41,--,54,4
AVIOM,4.0,565,"Work Life Balance, Salary & Benefits, Work Satisfaction",1.2k,31,1,14,4
Dishman Carbogen Amcis,3.5,565,"Promotions / Appraisal, Job Security, Company Culture",2.1k,34,33,28,--
Colt Technology Services,4.2,565,"Company Culture, Work Life Balance, Work Satisfaction",3.1k,25,3,81,4
APL Apollo Tubes,4.0,564,"Salary & Benefits, Work Life Balance, Work Satisfaction",1.9k,45,9,21,--
Toothsi,2.7,564,"Job Security, Promotions / Appraisal, Company Culture",2.2k,64,--,21,--
Dr. Reddy's Foundation,3.7,564,Promotions / Appraisal,1.7k,54,31,75,--
Pathkind Diagnostics Private Limited,3.9,565,Skill Development / Learning,1.8k,50,4,48,1
Myk Laticrete,3.9,564,"Salary & Benefits, Skill Development / Learning",2k,25,21,27,1
Perficient,3.7,563,Work Life Balance,4.3k,45,7,31,4
